id	ServiceCount	UniqueBeneficiaries	BeneficiaryServiceCount	TotalAllowed	TotalCharged	TotalPayment
54063	56959	6499	14989	1267745	2159346	986113
20145	24076	9341	17752	1167066	1840577	859261
13317	29879	10324	16947	1748845	4170757	1338090
48111	2312	1167	2266	119497	163651	92624
17117	109464	25931	61829	3754073	6076854	2830251
8077	474137	247906	379223	29714711	71704970	22500525
17139	40519	8630	19104	1309357	1616955	1008053
12055	2080079	458264	807567	73783537	176180153	57195226
22119	174220	58999	97556	6939143	16001720	5318404
72131	28131	6704	14407	564325	637309	441382
17033	48607	11043	22680	1813131	2942582	1374309
51710	3035130	872634	1368653	123283183	313115415	95028233
39103	436979	172386	299668	23580267	52232931	17913107
13051	3042857	1314744	1980291	144046731	432216549	111453934
17161	1759132	716982	1221637	64317840	146367368	50237180
55027	225557	111779	191179	9487409	23655297	7082356
50001	114137	39191	92441	4086183	8209027	3048439
48137	5631	1379	3004	98997	129847	73430
13063	812421	306007	486605	47311504	116545605	36306782
26143	93661	23597	46709	2886965	4825776	2184998
28045	55545	27232	50527	3063127	7493139	2271097
21215	30427	7310	15044	720815	1251575	545249
42083	196071	64084	112921	9167145	18856841	6897939
26001	47501	8977	35226	463978	498134	364698
51820	134170	61031	95741	6157462	8195098	4598766
51135	69900	21302	44685	2173889	3661204	1604276
48127	83167	8790	17069	2838977	6733017	2217338
20201	14677	5337	10869	559619	845341	411645
21007	13779	2546	4277	418502	745847	318578
51003	827895	269709	454075	39074584	80581194	29791533
53065	152841	49613	82307	4026620	8355194	3088335
26155	188127	83769	139992	10661416	20258675	8053577
28051	12868	6282	12858	903320	1633125	671689
48491	1613251	533458	880039	75030803	214203492	57837358
8035	268994	94037	171281	14034700	33444752	10662449
51117	215291	78073	140131	8635688	16299421	6676271
36069	303128	145024	219510	17741182	37569773	13359657
51111	23642	8394	14784	490130	931763	386453
5087	17951	3783	6177	402591	518252	304492
46115	1861	782	1861	80148	114417	60741
24043	1518767	638373	1037950	76195288	167386995	59135262
26007	252837	140991	213349	14563667	31427116	11056281
27011	23223	4959	13383	784344	1201405	591966
21069	68676	22657	42316	2793068	5124625	2130963
53001	12347	3241	11044	492174	871553	362917
20019	10658	1695	2635	267313	448601	210594
32029	2085	180	222	83314	155299	66316
25001	2161869	890897	1432421	116918674	286151698	90075615
5145	419913	185405	281198	20631033	41422393	15561536
26063	137365	57056	91396	6269898	11463963	4738322
17073	109437	35580	77005	6429647	13103390	4851694
21001	67686	15579	34329	1756158	2957681	1350125
28065	9144	4052	8203	369186	554871	266605
26121	985972	401300	708748	54934684	115696589	42063943
27117	13641	4685	8151	551802	659443	406385
36091	643257	282965	458535	30585271	64632946	23264374
48147	55406	19208	33368	2231133	5911346	1698930
55137	39755	8041	15532	1226839	2913557	933889
19171	34974	8062	18500	935950	1392369	693124
1061	100968	27420	48881	3456073	5864979	2595263
39061	6799544	3324202	5060971	329610346	823100439	257280814
46105	10888	1709	5463	292483	426560	224843
49051	27312	8625	22446	935897	1495112	701099
46067	13344	3443	7310	419603	669266	319137
2290	1229	816	1152	68942	210818	50528
47089	199531	78684	138051	7236752	15327380	5556241
4021	453197	162182	305844	25725525	57265104	19553344
36025	54975	23868	50126	3282841	5888963	2382256
5093	136010	61272	105308	5515956	13593672	4144091
16031	32220	15688	28177	1328603	2152677	1002344
37149	86970	30093	62684	4278697	8627168	3182473
38067	27029	8713	14907	649152	1630453	491452
51036	3429	313	437	65665	81569	52734
28017	43721	22572	37954	1657200	3880516	1206752
55141	1363301	590454	996044	47553708	222979035	37691392
39149	125144	58786	101756	8288587	17340905	6175217
27127	27796	14573	25262	904333	1709916	681310
37017	113067	25878	59677	3084129	4546255	2395663
37175	153600	53041	120988	6285793	12828914	4782311
54023	29134	12049	25661	1387268	2048579	1018883
72001	6322	3897	6190	254906	400209	189012
30103	75	67	75	1692	2305	1376
6001	7749942	2408058	4079867	367660683	938493826	290866568
41013	29136	9368	21020	1294840	3560470	1003141
4007	278847	109150	185426	14083553	30260317	10690697
47117	61972	24162	39013	3339408	8342096	2539429
55083	32675	12188	20585	1199583	3170517	915099
38097	15381	7657	12477	728795	1342224	542066
55101	630407	270710	439785	36233023	126213458	27428596
22075	8324	3163	6960	386943	614146	283434
18101	13887	4188	8532	359172	500134	267548
26133	60347	15013	30931	2083317	3468049	1574177
24003	2885616	1316481	2101232	186426615	411629604	143351273
